timestamp,symbol,exchange,bid,ask
1758892660,BNB/USDT,binance,943.46,943.4700000000001
1758892661,LINK/USDT,okx,20.341,20.345
1758892661,LINK/USDT,binance,20.34,20.35
1758892662,DOGE/USDT,okx,0.2254,0.22555
1758892662,DOGE/USDT,binance,0.2255,0.22551
1758892663,SHIB/USDT,okx,1.3407200824608173e-05,1.349773591595113e-05
1758892663,SHIB/USDT,binance,1.16937082280918e-05,1.198e-05
1758892667,BTC/USDT,okx,109086.6,109087.6
1758892667,BTC/USDT,binance,109101.42,109101.43
1758892668,ETH/USDT,okx,3920.95,3928.94
1758892668,ETH/USDT,binance,3920.99,3921.0
1758892668,SOL/USDT,okx,195.08,195.09
1758892668,SOL/USDT,binance,195.18000000000004,195.19
1758892669,XRP/USDT,okx,2.7392,2.7394
1758892669,XRP/USDT,binance,2.7405,2.7406
1758892669,ADA/USDT,okx,0.7690614960029679,0.7693570087919629
1758892669,ADA/USDT,binance,0.7696000000000001,0.7697000000000002
1758892670,AVAX/USDT,okx,27.527,27.529
1758892670,AVAX/USDT,binance,27.54,27.55
1758892671,BNB/USDT,okx,943.0,943.2464971721874
1758892671,BNB/USDT,binance,943.08,943.09
1758892671,LINK/USDT,okx,20.33,20.334
1758892671,LINK/USDT,binance,20.33,20.34
1758892672,DOGE/USDT,okx,0.2253,0.2254
1758892672,DOGE/USDT,binance,0.22534,0.22535
1758892673,SHIB/USDT,okx,1.3407200824608173e-05,1.349773591595113e-05
1758892673,SHIB/USDT,binance,1.16937082280918e-05,1.198e-05
1758892677,BTC/USDT,okx,109090.4,109091.0
1758892677,BTC/USDT,binance,109085.05,109085.06
1758892678,ETH/USDT,okx,3920.14,3920.264618260732
1758892678,ETH/USDT,binance,3919.06,3919.07
1758892679,SOL/USDT,okx,195.06,195.07
1758892679,SOL/USDT,binance,195.06,195.07
1758892679,XRP/USDT,okx,2.7394,2.7395
1758892679,XRP/USDT,binance,2.7393,2.7394
1758892680,ADA/USDT,okx,0.7692,0.7694
1758892680,ADA/USDT,binance,0.7691,0.7692
1758892680,AVAX/USDT,okx,27.531,27.534
1758892680,AVAX/USDT,binance,27.53,27.54
1758892681,BNB/USDT,okx,943.0,943.1
1758892681,BNB/USDT,binance,943.08,943.09
1758892681,LINK/USDT,okx,20.336,20.34
1758892681,LINK/USDT,binance,20.33,20.34
1758892682,DOGE/USDT,okx,0.22535,0.2254
1758892682,DOGE/USDT,binance,0.22534,0.22535
1758892682,SHIB/USDT,okx,1.3407200824608173e-05,1.349773591595113e-05
1758892682,SHIB/USDT,binance,1.16937082280918e-05,1.198e-05
1758892687,BTC/USDT,okx,109124.0,109125.0
1758892687,BTC/USDT,binance,109113.44,109113.45
1758892688,ETH/USDT,okx,3922.0,3922.05
1758892688,ETH/USDT,binance,3921.86,3921.87
1758892689,SOL/USDT,okx,195.06,195.27999999999997
1758892689,SOL/USDT,binance,195.24000000000004,195.26000000000002
1758892690,XRP/USDT,okx,2.7404,2.7412
1758892690,XRP/USDT,binance,2.7407999999999997,2.7409
1758892690,ADA/USDT,okx,0.7696000000000001,0.7697000000000002
1758892690,ADA/USDT,binance,0.7698,0.7698999999999999
1758892691,AVAX/USDT,okx,27.563,27.564
1758892691,AVAX/USDT,binance,27.56,27.57
1758892692,BNB/USDT,okx,943.3,943.4716878504524
1758892692,BNB/USDT,binance,943.77,943.78
1758892692,LINK/USDT,okx,20.346,20.347
1758892692,LINK/USDT,binance,20.35,20.36
1758892693,DOGE/USDT,okx,0.2254,0.22545
1758892693,DOGE/USDT,binance,0.22548,0.22549
1758892694,SHIB/USDT,okx,1.3407200824608173e-05,1.349773591595113e-05
1758892694,SHIB/USDT,binance,1.169975530052096e-05,1.198e-05
1758892698,BTC/USDT,okx,109122.6,109123.2
1758892698,BTC/USDT,binance,109113.44,109113.45
1758892698,ETH/USDT,okx,3920.8500000000004,3920.92
1758892698,ETH/USDT,binance,3921.86,3921.87
1758892699,SOL/USDT,okx,195.19,195.20999999999998
1758892699,SOL/USDT,binance,195.23,195.26000000000002
1758892700,XRP/USDT,okx,2.7400000000000007,2.7403
1758892700,XRP/USDT,binance,2.7407999999999997,2.7409
1758892701,ADA/USDT,okx,0.7694,0.7694999999999999
1758892701,ADA/USDT,binance,0.7698,0.7698999999999999
1758892701,AVAX/USDT,okx,27.554165324991953,27.562421189155025
1758892701,AVAX/USDT,binance,27.56,27.57
1758892702,BNB/USDT,okx,943.5,943.6
1758892702,BNB/USDT,binance,943.59,943.6
1758892703,LINK/USDT,okx,20.346358732277704,20.350640981753163
1758892703,LINK/USDT,binance,20.34,20.35
1758892704,DOGE/USDT,okx,0.2254,0.22545
1758892704,DOGE/USDT,binance,0.22541,0.22543467974155812
1758892704,SHIB/USDT,okx,1.3407200824608173e-05,1.349773591595113e-05
1758892704,SHIB/USDT,binance,1.169975530052096e-05,1.198e-05
1758892708,BTC/USDT,okx,109123.1,109123.2
1758892708,BTC/USDT,binance,109100.9,109100.91
1758892709,ETH/USDT,okx,3920.4000000000005,3920.41
1758892709,ETH/USDT,binance,3920.17,3920.1799999999994
1758892709,SOL/USDT,okx,195.23,195.24000000000004
1758892709,SOL/USDT,binance,195.26999999999998,195.27999999999997
1758892710,XRP/USDT,okx,2.7400000000000007,2.7403
1758892710,XRP/USDT,binance,2.7397999999999993,2.7399
1758892711,ADA/USDT,okx,0.7693000000000001,0.7694
1758892711,ADA/USDT,binance,0.7694,0.7694999999999999
1758892711,AVAX/USDT,okx,27.550440807052915,27.556
1758892711,AVAX/USDT,binance,27.55,27.56
1758892712,BNB/USDT,okx,943.5,943.6
1758892712,BNB/USDT,binance,943.59,943.6
1758892713,LINK/USDT,okx,20.349,20.35264084820184
1758892713,LINK/USDT,binance,20.34,20.35
1758892714,DOGE/USDT,okx,0.2254,0.22545
1758892714,DOGE/USDT,binance,0.22541,0.22543467974155812
1758892714,SHIB/USDT,okx,1.341033171137475e-05,1.349773591595113e-05
1758892714,SHIB/USDT,binance,1.16937082280918e-05,1.198e-05
1758892718,BTC/USDT,okx,109123.1,109123.2
1758892718,BTC/USDT,binance,109110.12,109110.13
1758892719,ETH/USDT,okx,3920.99,3921.0
1758892719,ETH/USDT,binance,3920.96,3920.97
1758892719,SOL/USDT,okx,195.27999999999997,195.29
1758892719,SOL/USDT,binance,195.26999999999998,195.27999999999997
1758892720,XRP/USDT,okx,2.7404,2.7407
1758892720,XRP/USDT,binance,2.7403,2.7404
1758892721,ADA/USDT,okx,0.7693000000000001,0.7694
1758892721,ADA/USDT,binance,0.7694,0.7694999999999999
1758892721,AVAX/USDT,okx,27.563,27.564
1758892721,AVAX/USDT,binance,27.56,27.57
1758892722,BNB/USDT,okx,943.3999999999999,943.6
1758892722,BNB/USDT,binance,943.45,943.46
1758892722,LINK/USDT,okx,20.348,20.35232043479954
1758892722,LINK/USDT,binance,20.35,20.36
1758892723,DOGE/USDT,okx,0.2254,0.22545
1758892723,DOGE/USDT,binance,0.22538,0.22539
1758892723,SHIB/USDT,okx,1.341033171137475e-05,1.349773591595113e-05
1758892723,SHIB/USDT,binance,1.16937082280918e-05,1.198e-05
1758892728,BTC/USDT,okx,109123.1,109123.2
1758892728,BTC/USDT,binance,109109.21,109109.22
1758892728,ETH/USDT,okx,3920.92,3921.34
1758892728,ETH/USDT,binance,3919.93,3919.94
1758892729,SOL/USDT,okx,195.27999999999997,195.3
1758892729,SOL/USDT,binance,195.33,195.33999999999997
1758892730,XRP/USDT,okx,2.7404,2.7413
1758892730,XRP/USDT,binance,2.7406,2.7407
1758892731,ADA/USDT,okx,0.7693000000000001,0.7694999999999999
1758892731,ADA/USDT,binance,0.7693000000000001,0.7694
1758892731,AVAX/USDT,okx,27.574,27.576
1758892731,AVAX/USDT,binance,27.57,27.58
1758892732,BNB/USDT,okx,943.3999999999999,943.5
1758892732,BNB/USDT,binance,943.3,943.32
1758892733,LINK/USDT,okx,20.352,20.358
1758892733,LINK/USDT,binance,20.35,20.36
1758892733,DOGE/USDT,okx,0.2254,0.2255
1758892733,DOGE/USDT,binance,0.22541,0.22542
1758892734,SHIB/USDT,okx,1.3407200824608173e-05,1.349773591595113e-05
1758892734,SHIB/USDT,binance,1.166109483907034e-05,1.213e-05
1758892738,BTC/USDT,okx,109152.0,109153.0
1758892738,BTC/USDT,binance,109109.21,109109.22
1758892738,ETH/USDT,okx,3921.6386340581334,3921.91
1758892738,ETH/USDT,binance,3919.93,3919.94
1758892739,SOL/USDT,okx,195.33999999999997,195.37999999999997
1758892739,SOL/USDT,binance,195.33,195.33999999999997
1758892740,XRP/USDT,okx,2.742,2.7423
1758892740,XRP/USDT,binance,2.7406,2.7407
1758892741,ADA/USDT,okx,0.7694,0.7694999999999999
1758892741,ADA/USDT,binance,0.7693000000000001,0.7694
1758892742,AVAX/USDT,okx,27.582,27.583
1758892742,AVAX/USDT,binance,27.57,27.58
1758892742,BNB/USDT,okx,943.9,944.0
1758892742,BNB/USDT,binance,944.02,944.0300000000001
1758892743,LINK/USDT,okx,20.358,20.362
1758892743,LINK/USDT,binance,20.35,20.36
1758892743,DOGE/USDT,okx,0.2255,0.2256
1758892743,DOGE/USDT,binance,0.22541,0.22542
1758892744,SHIB/USDT,okx,1.341033171137475e-05,1.349773591595113e-05
1758892744,SHIB/USDT,binance,1.166109483907034e-05,1.213e-05
1758892749,BTC/USDT,okx,109181.4,109181.97270543162
1758892749,BTC/USDT,binance,109147.99,109148.0
1758892749,ETH/USDT,okx,3923.9,3924.66
1758892749,ETH/USDT,binance,3922.14,3922.15
1758892750,SOL/USDT,okx,195.06,195.4350782020776
1758892750,SOL/USDT,binance,195.43,195.44
1758892751,XRP/USDT,okx,2.7391149839614783,2.7448
1758892751,XRP/USDT,binance,2.7427000000000006,2.743
1758892752,ADA/USDT,okx,0.7697000000000002,0.7701999999999999
1758892752,ADA/USDT,binance,0.7696000000000001,0.7697000000000002
1758892752,AVAX/USDT,okx,27.618,27.624
1758892752,AVAX/USDT,binance,27.58,27.59
1758892753,BNB/USDT,okx,944.7,945.1827901117578
1758892753,BNB/USDT,binance,944.02,944.0300000000001
1758892753,LINK/USDT,okx,20.38,20.391
1758892753,LINK/USDT,binance,20.36,20.37
1758892754,DOGE/USDT,okx,0.2258,0.22588139519892242
1758892754,DOGE/USDT,binance,0.22556,0.22557
1758892755,SHIB/USDT,okx,1.341033171137475e-05,1.349773591595113e-05
1758892755,SHIB/USDT,binance,1.16700940011259e-05,1.213e-05
1758892759,BTC/USDT,okx,109213.3,109213.9
1758892759,BTC/USDT,binance,109207.83,109207.84
1758892760,ETH/USDT,okx,3926.2199999999993,3926.23429506282
1758892760,ETH/USDT,binance,3925.89,3925.9
1758892760,SOL/USDT,okx,195.66999999999996,195.69000000000003
1758892760,SOL/USDT,binance,195.7,195.70999999999998
1758892761,XRP/USDT,okx,2.7468,2.7469
1758892761,XRP/USDT,binance,2.7465,2.7466
1758892762,ADA/USDT,okx,0.7703000000000001,0.7705
1758892762,ADA/USDT,binance,0.7704000000000001,0.7705
1758892762,AVAX/USDT,okx,27.622,27.624
1758892762,AVAX/USDT,binance,27.62,27.63
1758892763,BNB/USDT,okx,945.0999999999999,945.3
1758892763,BNB/USDT,binance,945.25,945.26
1758892764,LINK/USDT,okx,20.39,20.391
1758892764,LINK/USDT,binance,20.39,20.4
1758892765,DOGE/USDT,okx,0.22585,0.2259
1758892765,DOGE/USDT,binance,0.22586999999999996,0.22588
1758892765,SHIB/USDT,okx,1.341033171137475e-05,1.349773591595113e-05
1758892765,SHIB/USDT,binance,1.1679091605210804e-05,1.213e-05
1758892770,BTC/USDT,okx,109233.3,109255.2
1758892770,BTC/USDT,binance,109207.83,109207.84
1758892771,ETH/USDT,okx,3927.99,3927.9999999999995
1758892771,ETH/USDT,binance,3925.89,3925.9
1758892771,SOL/USDT,okx,195.73,195.7562190469316
1758892771,SOL/USDT,binance,195.7,195.70999999999998
1758892772,XRP/USDT,okx,2.741568343834484,2.748371201489189
1758892772,XRP/USDT,binance,2.7465,2.7466
1758892772,ADA/USDT,okx,0.7705,0.7706999999999999
1758892772,ADA/USDT,binance,0.7704000000000001,0.7705
1758892773,AVAX/USDT,okx,27.644,27.645
1758892773,AVAX/USDT,binance,27.62,27.63
1758892773,BNB/USDT,okx,945.3,945.4
1758892773,BNB/USDT,binance,945.25,945.26
1758892774,LINK/USDT,okx,20.39,20.395
1758892774,LINK/USDT,binance,20.39,20.4
1758892775,DOGE/USDT,okx,0.22595,0.226
1758892775,DOGE/USDT,binance,0.22586999999999996,0.22588
1758892775,SHIB/USDT,okx,1.341033171137475e-05,1.349773591595113e-05
1758892775,SHIB/USDT,binance,1.1679091605210804e-05,1.213e-05
1758892780,BTC/USDT,okx,109274.9,109276.4
1758892780,BTC/USDT,binance,109203.54,109203.55
1758892780,ETH/USDT,okx,3927.74,3927.85
1758892780,ETH/USDT,binance,3927.11,3927.12
1758892781,SOL/USDT,okx,195.73999999999998,195.75825465855314
1758892781,SOL/USDT,binance,195.79000000000002,195.8
1758892781,XRP/USDT,okx,2.748,2.7480999999999995
1758892781,XRP/USDT,binance,2.7478,2.748
1758892782,ADA/USDT,okx,0.7706,0.7709
1758892782,ADA/USDT,binance,0.7706,0.7706999999999999
1758892782,AVAX/USDT,okx,27.633,27.636
1758892782,AVAX/USDT,binance,27.63,27.64
1758892783,BNB/USDT,okx,945.4,945.4999999999999
1758892783,BNB/USDT,binance,945.36,945.37
1758892784,LINK/USDT,okx,20.399,20.4
1758892784,LINK/USDT,binance,20.39,20.4
1758892785,DOGE/USDT,okx,0.226,0.22605
1758892785,DOGE/USDT,binance,0.22597,0.22599005643751674
1758892785,SHIB/USDT,okx,1.341033171137475e-05,1.349773591595113e-05
1758892785,SHIB/USDT,binance,1.1679091605210804e-05,1.199e-05
1758892789,BTC/USDT,okx,109314.2,109319.8
1758892789,BTC/USDT,binance,109203.54,109203.55
1758892790,ETH/USDT,okx,3928.72,3928.94
1758892790,ETH/USDT,binance,3927.11,3927.12
1758892790,SOL/USDT,okx,195.75,195.76
1758892790,SOL/USDT,binance,195.79000000000002,195.8
1758892791,XRP/USDT,okx,2.7482,2.7492821360863973
1758892791,XRP/USDT,binance,2.7471000000000005,2.7472
1758892792,ADA/USDT,okx,0.7706999999999999,0.7708
1758892792,ADA/USDT,binance,0.7705,0.7706
1758892793,AVAX/USDT,okx,27.626,27.631
1758892793,AVAX/USDT,binance,27.63,27.64
1758892793,BNB/USDT,okx,945.4999999999999,945.6
1758892793,BNB/USDT,binance,945.6,945.61
1758892794,LINK/USDT,okx,20.397,20.4
1758892794,LINK/USDT,binance,20.39,20.4
1758892794,DOGE/USDT,okx,0.226,0.22605
1758892794,DOGE/USDT,binance,0.22598,0.22599
1758892795,SHIB/USDT,okx,1.341033171137475e-05,1.349773591595113e-05
1758892795,SHIB/USDT,binance,1.167e-05,1.213e-05
1758892800,BTC/USDT,okx,109324.2,109324.3
1758892800,BTC/USDT,binance,109220.6,109220.61
